feature,class_label
[2948.5 3747.  4318.  ... 3302.  3005.  1949.5],air_conditioner
[-2118.  -3395.5 -4556.  ...  3536.5  3649.5  2345. ],air_conditioner
[3062.5 1543.5  -85.  ... 5340.  6666.5 7771. ],air_conditioner
[  385.  -1526.5 -3543.5 ...  5919.   5668.   4526.5],air_conditioner
[6877.  5045.  4075.  ... 1977.5 1473.  1734. ],air_conditioner
[8348.5 8024.  6940.  ... 1835.5 2193.5 1473.5],air_conditioner
[1373.  1697.5 1884.5 ... 2398.  1895.  1488. ],air_conditioner
[ -559.  -2432.5 -3618.5 ... -2552.5 -1844.5  -528.5],air_conditioner
[ 1749.5  1956.5  1179.5 ... -2760.5 -1699.    391. ],air_conditioner
[ 591.   719.5  480.5 ... 4735.5 5422.5 5012.5],air_conditioner
[   0.     0.     0.  ... 1820.5 2035.  1324.5],dog_bark
[-2637.   -893.    992.  ...  -657.5 -1302.5 -1732. ],dog_bark
[   12.    561.5   992.  ... -1833.  -2657.  -3843. ],dog_bark
[-1678.5 -2034.5 -1904.5 ...  -550.5  -483.5  -290.5],children_playing
[  71.5  577.  1100.  ... -250.5 -283.5 -268. ],children_playing
[-3253.  -2647.  -1791.  ... -1880.  -1400.5  -704.5],children_playing
[ -189.   -237.   -248.5 ... -5684.5 -5597.  -5258.5],children_playing
[-326.  -400.  -427.  ... -488.  -420.  -452.5],children_playing
[1288.  1294.5 1155.  ... -132.  -115.   -96. ],children_playing
[ -3.5  47.5  88.  ... 350.  327.5 317. ],children_playing
[109.   72.  -11.  ... 283.  320.5 369. ],children_playing
[2002.5 2264.5 2512.  ... -202.  -135.5 -119.5],street_music
[-2927.5 -2738.5 -2580.5 ...  -109.     91.5   179.5],street_music
[  -92.5     8.5   169.5 ... -1207.5 -1257.5 -1296.5],street_music
[ 279.   434.   698.5 ... 1180.  1174.5 1194. ],street_music
[-381.  -286.5 -171.  ... -673.  -748.5 -747.5],street_music
[ 1274.5  1284.   1334.  ... -2991.5 -2934.  -2911. ],street_music
[ -39.5 -174.  -222.  ... -188.5 -184.5 -173.5],dog_bark
[ 363.   316.5  269.5 ... -160.  -247.5 -237.5],dog_bark
[551.5  64.5 648.5 ... 273.  267.5 289. ],dog_bark
[ 24.5 -62.  -55.5 ...  52.5  85.   98.5],dog_bark
[-479.  -601.5 -819.5 ... 2592.  2715.5 2790.5],dog_bark
[305.5 216.   24.5 ... -94.5 147.5 201.5],dog_bark
[ 0.5  6.  16.  ...  0.   0.   0. ],gun_shot
[ 295.   310.   303.5 ... -217.5 -243.5 -183.5],dog_bark
[ 334.5  326.   267.  ... -331.5 -324.5 -314. ],dog_bark
[-218.  -224.5 -237.  ...   40.5   28.    33. ],dog_bark
[-365.  -294.5 -310.5 ... -192.5 -189.  -239.5],dog_bark
[2382.  2411.  2372.5 ... 3225.5 3691.5 3960.5],siren
[ -528.5  -755.5 -1011.  ... -1505.5 -1319.5 -1097.5],siren
[4156.  4338.5 4355.  ...  -84.5  113.5  100.5],siren
[-967.  -663.  -427.5 ...  658.   668.   551.5],siren
[  -56.5    28.    138.  ...  -887.  -1113.5 -1022. ],siren
[  650.    844.    931.  ... -1672.5 -1396.  -1223. ],siren
[-954.  -789.  -605.5 ...   69.   156.   347. ],siren
[ 1097.   1125.5  1250.5 ... -1163.  -1028.   -908. ],siren
[ 1795.5  1835.   1842.5 ... -4963.5 -4933.5 -4881.5],engine_idling
[ 4287.   4020.   3879.  ... -1438.  -1517.5 -1547. ],engine_idling
[1820.5 1725.  1487.  ...  666.5  738.   886.5],engine_idling
[-3592.5 -3682.  -3798.5 ...  3891.5  3588.   3185.5],engine_idling
[ 972.5 1007.  1103.5 ... 3748.5 4017.5 4242. ],engine_idling
[ 2975.5  3046.5  3386.  ... -5601.  -5662.  -5609. ],engine_idling
[ 4416.5  4390.   4173.  ... -6835.  -6840.5 -6701.5],engine_idling
[-5451.5 -5341.5 -5339.5 ...   900.   1554.   2337. ],engine_idling
[-6533.5 -6487.  -6456.  ...  4282.   4288.   4425. ],engine_idling
[2821.5 3038.5 3165.5 ... 1001.5  738.5  476.5],engine_idling
[ 4416.5  4165.5  4008.5 ... -6173.5 -6089.5 -6148. ],engine_idling
[ 296.5  225.5   82.  ... 1003.5  544.5  -79.5],engine_idling
[-4710.  -4526.5 -4481.5 ...  1094.    929.5   618. ],engine_idling
[-6217.  -6152.  -6032.  ...  6495.5  6689.5  6859.5],engine_idling
[-203.5  248.   610.  ... 3006.  3428.5 3985.5],engine_idling
[ 7159.   7366.5  7334.  ... -3260.5 -3486.5 -3894. ],engine_idling
[4297.  4171.5 3796.5 ... -435.5 -278.   -69. ],engine_idling
[-4234.  -4247.5 -4106.  ...   680.5  1344.   1941. ],engine_idling
[ 146.   165.    -9.  ... 5219.  5412.  5787.5],engine_idling
[ 1899.   1568.   1399.  ... -7256.5 -7344.  -7139.5],engine_idling
[ 5847.   5676.5  5739.  ... -9214.  -9118.  -9039.5],engine_idling
[-6714.5 -6351.  -6235.5 ...  3822.5  3276.   2609. ],engine_idling
[-8893.5 -8709.5 -8718.  ...  5992.5  5582.5  4940.5],engine_idling
[-1474.5 -1400.  -1434.  ...  3561.   3523.   3328. ],engine_idling
[1908.5 1537.5 1387.5 ... -651.  -524.  -754.5],engine_idling
[ 431.5  636.  1197.5 ...  469.   146.    -2. ],engine_idling
[ 3229.5  3367.5  3597.  ... -8415.5 -8519.  -8566.5],engine_idling
[   0.  -299.5 -940.5 ... 1676.5 2138.5 2374. ],engine_idling
[-8543.  -8594.  -8700.5 ...  4874.   4646.   4630.5],engine_idling
[2325.  2122.  2091.  ... 1917.  1910.5 1849. ],engine_idling
[ 4749.   4651.5  4245.5 ... -3225.5 -3292.5 -3444. ],engine_idling
[-4492.  -4524.5 -4605.5 ...  4394.   3948.5  3635. ],engine_idling
[-9723.  -9832.  -9840.5 ... 10110.5 10005.   9807. ],engine_idling
[-1212.  -1056.5  -832.  ... -2155.5 -1604.5 -1029.5],siren
[1223.   831.5  263.  ... 3878.5 3848.5 3697. ],siren
[ 641.   681.5  719.  ... -669.  -759.  -820.5],siren
[-1261.   -985.   -837.  ...  1143.   1104.5   992.5],siren
[ -928.5 -1052.  -1173.5 ...  -846.5  -848.5  -844.5],siren
[ 867.   675.   499.  ... -368.  -266.  -112.5],siren
[-860.5 -882.5 -822.  ...  613.5  841.5 1024.5],siren
[  8.5 123.5 196.5 ... 499.5 370.  288. ],siren
[-458.5  107.5  667.5 ...  747.   627.5  431.5],siren
[3527.5 3228.  2701.5 ... 3780.  3741.  3427.5],siren
[ 199.  -112.  -460.  ...  628.   484.5  241. ],siren
[ 2777.5  1794.5   596.  ... -1031.   -930.5  -861. ],siren
[-106.5 -420.5 -594.5 ... -116.  -187.  -217. ],siren
[-787.  -661.  -486.5 ... 1452.  1789.5 2050.5],siren
[-228.  -324.5 -495.5 ...  500.   598.5  647. ],siren
[ 2187.5  2207.   2050.  ... -1891.5 -1669.  -1465.5],siren
[    0.      0.      0.  ... -5262.5 -4149.5 -2372. ],drilling
[ 5050.   3674.   1478.  ... -1018.5 -3836.5 -6412. ],drilling
[  579.5  -939.  -1972.  ...  5738.5  7180.   7725. ],drilling
[-8148.5 -8848.5 -8362.  ...  7345.   5488.   3390.5],drilling
[ 6819.   4830.   2901.  ... -6602.5 -5793.  -4117.5],drilling
[   0.     0.     0.  ... 4623.5 4668.5 3821. ],drilling
[   0.     0.     0.  ... -742.5 1374.5 2914. ],drilling
[-2304.  -2215.  -2175.  ... -2100.5 -1385.   -556. ],drilling
[  848.5  1715.   2403.  ... -6886.  -7076.  -5890.5],drilling
[10660.  11672.  11116.5 ...  1471.   1523.5  1651. ],drilling
[3275.5 2465.5 1286.5 ... 6463.  8528.5 9263. ],drilling
[  502.   1746.   2966.5 ... -2680.  -2463.5 -2648. ],drilling
[ 8788.5  7334.   5335.  ... -2467.   -648.   1025. ],drilling
[-3469.5 -4676.  -5901.  ... -5099.  -6946.  -7719. ],drilling
[ 2104.5  2498.   2236.5 ... -1417.  -2234.5 -3107.5],drilling
[ -7412.   -6687.   -5981.  ...  -2388.   -7893.5 -12028. ],drilling
[-3916.5 -4377.5 -4299.5 ... -2305.  -1435.5  -293.5],drilling
[-14025.  -13791.  -11819.5 ...   3205.    6033.    8549. ],drilling
[   0.     0.     0.  ...  381.5  -71.5 -103. ],drilling
[   0.     0.     0.  ... 1389.  1798.  1812.5],drilling
[5101.  5109.5 4611.5 ...  353.   -98.  -643. ],drilling
[  0.    0.    1.5 ... 723.  773.5 710.5],engine_idling
[ 1183.5  1205.   1239.5 ... -2612.  -2594.5 -2576.5],engine_idling
[ 572.5  414.   301.  ... -601.5 -315.  -149. ],engine_idling
[-4415.5 -4685.  -4950.5 ... -1624.5 -2132.  -2210. ],children_playing
[ -564.5  -830.5 -1139.5 ...  1292.   2574.   3501. ],children_playing
[ 1482.   1355.    734.  ... -2075.  -2065.5 -1639.5],children_playing
[-1082.5  -447.   -178.  ... -2645.5 -3794.5 -4612. ],children_playing
[-2139.5 -2124.5 -1972.  ...   660.5    88.   -649. ],children_playing
[-1698.  -2884.  -3767.  ... -3061.5 -1726.     40.5],children_playing
[1702.  2818.  3320.5 ... -937.5 -243.   470. ],children_playing
[-782.5 1091.5 2941.5 ... -298.  -208.   -93.5],children_playing
[-1130.    -62.5   622.5 ...   764.    736.  -1002.5],jackhammer
[ 1761.5   851.    748.5 ... -1045.   -317.5  -870. ],jackhammer
[ -910.5 -1002.  -1231.5 ...   121.    213.    161.5],jackhammer
[ 444.5  231.5  195.  ... 2496.  1135.5 1890. ],jackhammer
[  736.  -2213.  -2672.5 ...  -158.    311.    394. ],jackhammer
[ 158.   -70.   -52.  ... -174.  -506.5 -826.5],jackhammer
[4961.5 2966.5 -535.5 ... 1101.  3372.5 5982.5],jackhammer
[-196.5 -218.   484.5 ... -558.  -209.5  433. ],jackhammer
[ 936.5  551.  -192.5 ... -229.  -346.  -267. ],jackhammer
[-580.5 -371.5   73.5 ...   98.5  -50.5 -193. ],jackhammer
[-2190.5 -1837.5 -1365.  ...  -362.5  -268.5  -131. ],jackhammer
[286.  214.  203.5 ... 182.5 597.  724. ],jackhammer
[-371.  -593.  -782.5 ...   76.     5.5  441.5],jackhammer
[1213.5 1585.  2668.  ...   60.5 -138.  -249.5],jackhammer
[-229.5 -203.   -71.5 ... -153.  -153.  -202.5],jackhammer
[-207.  -277.  -436.5 ...  187.  -330.  -605.5],jackhammer
[ 380.   240.  -262.  ...   72.    60.    94.5],jackhammer
[ 196.5  134.   -66.  ... -254.  -254.5  190. ],jackhammer
[1617.5 1224.   849.  ...  757.   364.   147.5],jackhammer
[-258.  -374.  -213.  ... -611.5 -571.  -340. ],jackhammer
[-1225.   -190.   1770.5 ... -1038.  -1542.    -42. ],jackhammer
[-712.  -618.  -507.  ... 1036.5  954.5 1329. ],jackhammer
[3080.  2920.  1335.  ... -619.  -825.  -525.5],jackhammer
[  84.    89.    91.5 ... -159.   -89.5   63.5],jackhammer
[ -18.5 4101.5 6733.5 ... -154.5 -218.5 -286.5],jackhammer
[ -95.  -107.   -68.5 ...  311.   205.   284.5],jackhammer
[ 457.   433.5   70.  ... -107.  -104.5 -106. ],jackhammer
[ 147.    20.5 -199.5 ... -627.  -644.  -687. ],jackhammer
[-374.5 -244.    46.5 ... -648.5 -418.    97.5],jackhammer
[-269.5 -505.  -707.  ... -297.5  -69.   -26. ],jackhammer
[3016.  2306.5  831.5 ...  499.  2661.5 3231. ],jackhammer
[ 362.5  479.5  282.5 ...  654.5   68.5 -679. ],jackhammer
[ 129.5  606.   891.  ... -133.   266.   390. ],jackhammer
[ 268.   154.5  -88.5 ... 1010.  -157.5 -424.5],jackhammer
[251.5 257.5 260.5 ... 171.5 510.   60. ],jackhammer
[-1975.5 -6383.  -7260.5 ...  -649.5   956.    331. ],jackhammer
[-108.5   -4.5 -183.5 ...  -79.5 -388.  -370.5],jackhammer
[ 1340.     29.  -1790.5 ... -4300.5 -7420.  -4779.5],jackhammer
[-203.  -132.5   -5.5 ... 2357.  1630.   405. ],jackhammer
[ -47.  1977.  1787.5 ...   78.5  102.5   99. ],jackhammer
[-1837.  -1553.5  -219.5 ...  -594.5   -47.5   156.5],jackhammer
[ -983.  -1004.5  -696.  ...  -198.5  -105.     39.5],jackhammer
[-97.  202.5 844.  ... 391.5 492.5 143. ],jackhammer
[ 925.  -113.5 -181.  ...  -58.5 -160.  -142. ],jackhammer
[  265.5    69.     20.  ... -1545.5  -575.5   174. ],jackhammer
[-164.5  -71.5  295.5 ...  301.   194.5  117. ],jackhammer
[-233.5    3.5 -240.  ...   84.   -78.5 -195. ],jackhammer
[ -291.   -608.5  -559.  ... -1179.  -2053.  -1327.5],jackhammer
[-338.5 -426.   -38.  ... -270.  -137.5   70.5],jackhammer
[-734.5 -696.5 -593.  ... -785.  -856.   163. ],jackhammer
[-627.5  100.   262.5 ...  905.   819.   841.5],jackhammer
[1058.  1466.  1341.  ...  671.5 1133.   994.5],jackhammer
[ 427.  -355.5 -512.5 ... -199.  -232.5 -154. ],jackhammer
[-523.5  160.   386.  ... -426.  -468.  -118.5],jackhammer
[ 455.   889.   854.  ...  -58.  -164.5 1198. ],jackhammer
[3475.  1461.5 -841.5 ... 2463.  4454.  1326. ],jackhammer
[  293.5   355.    414.5 ...   498.   -158.5 -1879.5],jackhammer
[ -282.   -335.   -387.5 ... -1178.   -315.5  1186.5],jackhammer
[ -359.   -277.5  -328.  ... -1583.5 -2369.5 -1802.5],jackhammer
[-107.  -95.  -80. ...  132.  279.  411.],jackhammer
[  180.5  -116.5  -190.  ... -2401.5 -2213.5 -1536. ],jackhammer
[ 393.5  353.5   89.  ... 1543.5  872.5  849. ],jackhammer
[-1783.5 -2547.  -3211.5 ...  -646.5  -769.   -774. ],jackhammer
[ 242.5   99.5 1733.  ...  -48.5   94.5  176. ],jackhammer
[-589.5 -341.5 -242.  ...   24.    67.   -86.5],jackhammer
[267.  242.  198.  ... -28.  -28.  -30.5],jackhammer
[-121.5 -119.5 -119.5 ... -314.5  117.   615.5],jackhammer
[-1024.  -1043.   -779.5 ...   334.    246.     52.5],jackhammer
[-1868.5 -3963.5 -8691.5 ...   -37.   -117.5  -132.5],jackhammer
[ -689.  -2209.  -2005.5 ...   126.5  -153.   -485. ],jackhammer
[ -59.   -55.5  189.5 ...  371.   -72.  -622. ],jackhammer
[ -348.    -14.   -179.5 ... -1168.   -886.5  -247.5],jackhammer
[ 965.   822.5  309.5 ... -419.5 -589.5  -36.5],jackhammer
[ 137.    34.5   49.5 ... -723.5 -986.5  -70.5],jackhammer
"[-6.1000e+01 -7.5000e+00 -9.6450e+02 ... -8.2035e+03 -5.7545e+03
  1.2150e+03]",jackhammer
[ -586.  -1268.5 -1662.5 ...  -927.5  -549.   1192. ],jackhammer
[4915.5 4111.5 3889.5 ...  144.5  369.5  415. ],jackhammer
[ 2438.    -61.5 -1953.  ...  -127.5   214.5   167. ],jackhammer
[   76.5    16.    385.  ... -1456.5 -1745.5 -2225.5],jackhammer
[   98.   225.   281. ... -2260.   130.  1271.],jackhammer
[  -50.    -51.    -59.5 ...  -635.5 -1508.5 -2597. ],jackhammer
[528.5 863.5 741.5 ... 433.  635.  942. ],jackhammer
[-316.  -288.5  -52.5 ... -621.5 -718.  -762. ],jackhammer
[-948.  -332.5 1327.5 ... -725.5 -758.5 -517. ],jackhammer
[-467.5  -74.5  126.5 ... -424.  -662.  -544. ],jackhammer
[-233.   -83.   -18.  ...  578.5 3359.  4478. ],jackhammer
[-112.  -208.  -430.  ...  175.   203.5  279. ],jackhammer
[3762.5 3929.  4938.  ...  628.  1955.  1168. ],jackhammer
[ 241.5   15.  -225.  ...  142.   152.   143. ],jackhammer
[-2855.5 -1592.5  -223.5 ...  3327.   6322.   5956.5],jackhammer
[ 696.5 -138.  -853.5 ...  872.5  683.   432.5],jackhammer
[5895.  6338.5 3700.5 ...  465.5  635.   409.5],jackhammer
[  177.5    90.    297.5 ... -1496.5  1347.5  1979.5],jackhammer
[  -8.5 -320.  -317.  ... -524.  -985.  -942. ],jackhammer
[ 1189.5   292.   -541.5 ... -1207.   -809.5 -1364. ],jackhammer
[-575.  -131.   155.5 ...  340.   277.5  -34. ],jackhammer
[-1909.   -213.   2105.  ...  -986.5 -2138.5 -1365.5],jackhammer
[  192.5  -578.5 -1053.  ...  2109.   -306.5  -449. ],jackhammer
[-390.  -204.   579.  ... 1616.5 1669.  1093.5],jackhammer
[-1333.5 -2772.5 -1280.5 ...   267.5     3.5  -214.5],jackhammer
[ 364.   156.5  564.5 ... 1217.    64.5 -367. ],jackhammer
[ 456.  1231.5 1252.5 ... -288.5 -396.5 -400.5],jackhammer
[-211. -260. -725. ...  460.  391. -520.],jackhammer
[-297.  -267.5 -368.5 ...   -4.   309.   201.5],jackhammer
[-1219. -1109. -1308. ...  1183.  1058.     8.],jackhammer
[-391.5 -412.5 -437.  ...  717.   432.5  174.5],jackhammer
[ 126.5 -388.  -757.  ...  234.   343.   474.5],jackhammer
[  88.5  221.5  256.5 ...  -79.  -135.  -336. ],jackhammer
[459.  257.5 209.  ...  13.  227.5 270.5],jackhammer
[ -5.5  -4.5  -4.5 ... -17.  -17.  -16. ],dog_bark
[ 0.5  3.5  6.  ... -0.5  0.  -0.5],dog_bark
[-3.5 -3.5 -3.5 ... -4.  -4.5 -4.5],dog_bark
[ -839.5 -1968.  -3034.  ...    -4.5    -4.     -4. ],dog_bark
[ -75.5 -180.  -226.  ... -245.  -279.5 -311.5],siren
[ 29.5  31.5  34.  ... 135.  205.  274.5],siren
[-339.  -371.  -387.  ...  160.5  193.   218. ],siren
[ 339.5  413.5  466.5 ...  -14.5 -137.  -244.5],siren
[239.5 244.5 229.5 ... 534.5 467.  376. ],siren
[-348.  -454.5 -532.5 ...  681.   638.   574. ],siren
[ -25.5  -80.  -162.  ... 1394.5  687.   173.5],siren
[-1094.5 -1582.5 -2047.  ...  -191.   1034.5  2270. ],siren
[ 388.  1209.5 2221.  ... 2706.  2585.  2502.5],siren
[ 3271.   4211.5  4922.  ... 13682.  15614.5 17199. ],siren
[ 2450.   2353.   2170.  ... -7290.5 -7234.5 -7011.5],siren
[1521.  1515.5 1410.5 ... -252.  -252.  -256. ],siren
[-320.  -332.  -341.  ...  207.   192.5  157. ],siren
[-252.5 -251.5 -233.  ... -101.5  -89.5  -97. ],siren
[ 132.5  141.   138.  ... -102.   -67.5  -89. ],siren
[ -96.5  -72.   -93.5 ...  -51.5 -180.  -186.5],siren
[ -65.   -55.   -73.  ... -175.5 -201.  -190. ],siren
[-111.5  -85.5  -64.  ...  126.5  131.   124. ],siren
[-196.  -223.5 -227.  ... -153.  -141.  -129. ],siren
[-253.  -250.5 -261.5 ...  279.   285.5  245.5],dog_bark
[-103.   -96.  -116.5 ...   -4.     0.5   15. ],dog_bark
[ -89.5 -103.   -86.5 ...   14.    26.    15.5],dog_bark
[3070.  2693.5 2284.  ... 3507.5 3424.5 3392. ],children_playing
[1081.   753.   443.5 ... -476.  -353.5 -346. ],children_playing
[  32.5  -26.5 -164.  ...  215.   160.5  306.5],children_playing
[  460.    472.    504.5 ... -2297.5 -2321.5 -2249.5],children_playing
[-1398.  -1507.5 -1610.5 ...  -696.5  -580.   -546.5],children_playing
[-1908.  -1266.   -558.5 ...   563.5   404.5   340.5],children_playing
[282.  266.5 318.5 ... 521.  571.  679.5],children_playing
[ 770.   776.5  826.5 ... -160.5 -209.  -257. ],children_playing
[-1621.  -1763.5 -1843.  ...  -242.5  -331.5  -335.5],street_music
[-1453.  -1494.5 -1520.  ...  4666.   4976.5  4491.5],street_music
[ 3812.   3113.5  2065.5 ...  -781.5  -973.5 -1025.5],street_music
[ -894.  -1327.  -1636.5 ...   179.    643.5  1059. ],street_music
[ -886.   -785.   -823.5 ... -3057.5 -3218.5 -3864. ],street_music
[2572.5 2665.5 2669.5 ...  140.   328.   576. ],street_music
[0.000e+00 5.000e-01 5.000e-01 ... 5.680e+02 5.195e+02 4.835e+02],engine_idling
[-252.  -335.5 -348.5 ... -665.5 -595.5 -451. ],engine_idling
[ 454.5  494.5  571.  ... -486.  -628.5 -733.5],engine_idling
[3040.  2817.5 2788.5 ...  882.5  826.   876.5],engine_idling
[-1475.  -1471.  -1620.  ...  1216.   1114.5  1021.5],engine_idling
[1164.  1304.  1141.5 ...   90.   -98.5 -170. ],engine_idling
[2817.5 1788.5  816.  ...  609.   835.5  935. ],engine_idling
[-1386.   -420.5   664.  ...     4.5   -81.     79.5],engine_idling
[ 876.5  694.   212.5 ...   83.  -713.5 -891.5],engine_idling
[ 1715.5  1488.    927.  ... -1652.5 -1725.  -1917. ],siren
[ 4183.   1699.  -1702.  ... -2505.5 -2821.5 -2891.5],siren
[-2233.5 -2547.5 -2700.5 ...  5997.   7828.   9744.5],siren
[-2824.5 -3015.5 -3209.  ... -7942.  -8138.5 -8079. ],siren
[ -5.   12.5  11.  ... 816.5 858.5 873. ],gun_shot
[-436.5 -211.5   40.5 ... -950.5 -695.  -509.5],car_horn
[-173.5 -422.  -676.5 ...  106.5  235.5  411.5],car_horn
[-512.5 -499.5 -511.  ...  655.   687.   691. ],dog_bark
[-2055.5 -2353.  -3312.  ...  1178.   1014.5   882.5],engine_idling
[-17.  105.  171.5 ...  -4.5 146.5 182. ],engine_idling
[ 816.5  757.5  678.  ... 1494.5 1558.  1411. ],engine_idling
[ 107.5    0.  -113.  ...  892.   974.5 1033. ],engine_idling
[1258.  1222.  1262.  ...  779.   988.5 1180.5],engine_idling
[1033.5 1032.   981.  ...  478.5  396.   357.5],engine_idling
[1200.5 1076.  1005.  ... -527.5 -492.5 -466. ],engine_idling
[ 369.   388.5  394.  ... -350.5 -257.5 -128.5],engine_idling
[  -1.     0.     1.  ... -477.  -332.5 -199. ],siren
[2637.5 2846.  2909.  ...  -48.   284.   539.5],siren
[  -32.5    62.5    96.5 ... -6954.  -6933.5 -6736.5],siren
[ 778.5  994.5 1104.  ... 2050.  2514.  2987. ],siren
[-6682.  -6431.  -6036.  ... -2798.  -2484.5 -2154. ],siren
[3221.5 3346.  3544.  ... 2184.  2031.  1939. ],siren
[-1906.  -1806.  -1617.5 ...  1371.5  1465.5  1601. ],siren
[1787.  1697.  1770.  ... 1139.5 1169.  1150. ],siren
[1679.  1667.5 1673.  ... -196.5  -75.5 -112.5],siren
[623.5 666.5 682.5 ... 511.5 394.  302. ],siren
[ 513.5  463.   475.5 ... -231.5 -207.5 -156. ],siren
[-2821.5 -2254.  -1730.5 ...  2668.   2592.5  2414.5],siren
[1497.5 1261.5  996.5 ... -760.5 -695.  -482. ],siren
[ 2174.   1849.5  1467.5 ... -7100.5 -8040.  -8721. ],siren
[ -121.    372.5   965.5 ... -1930.5 -3547.5 -4810.5],siren
[-9181.  -9519.5 -9624.  ...  9809.   7633.   5510.5],siren
[-5817.  -6546.  -6910.5 ... -5628.  -5582.5 -5665.5],siren
[3408. 1290. -824. ... 1828. 1421.  935.],siren
[-5940.  -5929.5 -5845.  ...  1115.    996.   1178. ],siren
[ 258.5  -50.5   46.  ... 1514.5 1513.5 1384.5],siren
[ 327.5  418.5  520.  ... 2375.  2196.  2297.5],siren
[ -60.    25.5   68.5 ... 1448.5 1235.  1300.5],siren
[ 2415.   2470.5  2664.5 ... -1832.5 -1741.  -1715. ],siren
[1284.  1105.5  837.  ... -656.  -664.5 -572.5],siren
[-1687.5 -1501.5 -1345.  ...    67.5   291.    339.5],siren
[-681.  -701.  -616.5 ...  661.   748.   809. ],siren
[  324.5   352.    221.5 ... -4043.5 -3785.5 -3359.5],siren
[ 784.   666.5  589.5 ... 2291.5 2021.  1752.5],siren
[ 17.    4.    7.  ... 462.  445.5 381. ],street_music
[329.  325.5 329.  ...  77.   -8.5 -41. ],street_music
[159.5 464.  622.  ...  79.5 102.  151.5],street_music
[-108.   -67.5  -24.5 ...  159.   211.   263.5],street_music
[303.5 258.5 185.  ... 106.  105.  122.5],street_music
[228.5 244.5 214.  ... 301.5 392.5 467.5],street_music
[-1158.  -2356.5 -3733.5 ...   796.  -7166.5  -263.5],drilling
[ 3694.   2646.5  2968.5 ...   564.  -2589.5 -6794. ],drilling
[ 2622.  -5318.5 -2262.  ... -1864.  -1572.5  -430.5],drilling
[-193.5 -518.   315.5 ... -994.  -197.5 -719. ],drilling
[ 4748.   2835.   2274.5 ...    48.5 -1249.  -4888.5],drilling
[  947.  -3287.5 -6510.  ... -4942.5 -4232.5 -6667. ],drilling
[-5210.5 -2632.5  -776.  ...  1459.5 -1903.5 -1549. ],drilling
[  573.  -1829.5 -4968.5 ...  -277.5 -2482.5 -2330. ],drilling
